i	j	fold	type
36	50	0	n
37	50	0	n
38	50	0	n
39	50	0	n
40	50	0	n
41	50	1	up
42	50	0	n
43	50	0	n
44	50	0	n
45	50	0	n
46	50	0	n
47	50	0	n
48	50	0	n
49	50	0	n
26	51	0	n
27	51	0	n
28	51	0	n
29	51	0	n
31	51	0	n
32	51	0	n
33	51	0	n
34	51	0	n
35	51	0	n
36	51	0	n
37	51	0	n
38	51	0	n
39	51	0	n
40	51	0	n
41	51	0	n
42	51	0	n
43	51	0	n
44	51	0	n
45	51	0	n
46	51	0	n
47	51	0	n
48	51	0	n
49	51	0	n
50	51	0	n
27	52	0	n
28	52	0	n
29	52	0	n
30	52	0	n
31	52	0	n
32	52	0	n
33	52	0	n
34	52	0	n
35	52	0	n
36	52	0	n
37	52	0	n
38	52	1	up
39	52	0	n
40	52	0	n
41	52	0	n
42	52	0	n
43	52	0	n
44	52	0	n
45	52	0	n
46	52	0	n
47	52	0	n
48	52	0	n
49	52	0	n
50	52	0	n
51	52	0	n
16	53	0	n
21	53	0	n
22	53	0	n
24	53	0	n
25	53	0	n
26	53	0	n
27	53	0	n
28	53	0	n
29	53	0	n
30	53	0	n
31	53	0	n
32	53	0	n
33	53	0	n
34	53	0	n
35	53	0	n
36	53	0	n
37	53	0	n
38	53	0	n
39	53	0	n
40	53	0	n
41	53	0	n
42	53	0	n
43	53	0	n
44	53	0	n
45	53	0	n
46	53	0	n
47	53	0	n
48	53	0	n
49	53	0	n
50	53	0	n
51	53	0	n
52	53	0	n
26	54	0	n
27	54	0	n
28	54	0	n
29	54	0	n
31	54	0	n
32	54	0	n
35	54	0	n
36	54	0	n
37	54	0	n
38	54	0	n
39	54	0	n
40	54	0	n
41	54	0	n
42	54	0	n
43	54	0	n
44	54	0	n
45	54	0	n
46	54	0	n
47	54	0	n
48	54	0	n
49	54	0	n
50	54	0	n
51	54	0	n
52	54	0	n
53	54	0	n
24	55	0	n
26	55	0	n
27	55	0	n
28	55	0	n
29	55	0	n
30	55	0	n
31	55	0	n
32	55	0	n
33	55	0	n
34	55	0	n
35	55	0	n
36	55	0	n
37	55	0	n
38	55	0	n
39	55	0	n
40	55	0	n
41	55	1	up
42	55	0	n
43	55	0	n
44	55	0	n
45	55	0	n
46	55	0	n
47	55	0	n
48	55	0	n
49	55	0	n
50	55	0	n
51	55	0	n
52	55	0	n
53	55	0	n
54	55	0	n
16	56	1	up
22	56	0	n
26	56	0	n
27	56	0	n
28	56	0	n
29	56	0	n
30	56	0	n
31	56	0	n
32	56	0	n
33	56	0	n
34	56	0	n
35	56	0	n
36	56	0	n
37	56	0	n
38	56	0	n
39	56	0	n
40	56	0	n
41	56	0	n
42	56	0	n
43	56	0	n
44	56	0	n
45	56	0	n
46	56	0	n
47	56	0	n
48	56	0	n
49	56	0	n
50	56	0	n
51	56	0	n
52	56	0	n
53	56	0	n
54	56	0	n
55	56	0	n
26	57	0	n
27	57	0	n
28	57	0	n
29	57	1	up
30	57	0	n
31	57	0	n
32	57	0	n
33	57	0	n
34	57	0	n
35	57	0	n
36	57	0	n
37	57	0	n
38	57	0	n
39	57	0	n
40	57	0	n
42	57	0	n
43	57	0	n
44	57	0	n
45	57	0	n
46	57	0	n
47	57	0	n
48	57	0	n
49	57	0	n
50	57	0	n
51	57	0	n
52	57	0	n
53	57	0	n
54	57	0	n
55	57	0	n
56	57	0	n
26	58	0	n
27	58	0	n
28	58	0	n
29	58	0	n
30	58	0	n
31	58	0	n
32	58	0	n
34	58	0	n
35	58	0	n
36	58	0	n
37	58	0	n
38	58	0	n
39	58	0	n
40	58	0	n
42	58	0	n
43	58	0	n
44	58	0	n
45	58	0	n
46	58	0	n
47	58	0	n
48	58	0	n
49	58	0	n
50	58	0	n
51	58	0	n
52	58	0	n
53	58	0	n
54	58	0	n
55	58	0	n
56	58	0	n
57	58	0	n
26	59	0	n
27	59	0	n
28	59	0	n
29	59	0	n
30	59	0	n
31	59	0	n
32	59	0	n
33	59	0	n
34	59	0	n
35	59	0	n
36	59	0	n
37	59	0	n
38	59	0	n
39	59	0	n
40	59	0	n
42	59	0	n
43	59	0	n
44	59	0	n
45	59	0	n
46	59	0	n
47	59	0	n
48	59	0	n
49	59	0	n
50	59	0	n
51	59	0	n
52	59	0	n
53	59	0	n
54	59	0	n
55	59	0	n
56	59	0	n
57	59	0	n
58	59	0	n
25	60	0	n
27	60	0	n
28	60	0	n
29	60	0	n
30	60	0	n
31	60	0	n
32	60	1	down
33	60	0	n
34	60	0	n
35	60	0	n
36	60	0	n
37	60	0	n
38	60	0	n
39	60	0	n
40	60	0	n
42	60	0	n
43	60	0	n
45	60	0	n
46	60	1	up
47	60	0	n
48	60	0	n
49	60	0	n
50	60	0	n
51	60	0	n
52	60	0	n
53	60	0	n
54	60	0	n
55	60	0	n
56	60	0	n
57	60	1	up
58	60	0	n
59	60	0	n
27	61	0	n
29	61	0	n
30	61	0	n
31	61	0	n
32	61	0	n
33	61	0	n
34	61	0	n
35	61	0	n
36	61	0	n
37	61	0	n
38	61	0	n
39	61	0	n
40	61	0	n
41	61	0	n
44	61	0	n
45	61	0	n
46	61	0	n
47	61	0	n
48	61	0	n
49	61	0	n
50	61	0	n
51	61	0	n
52	61	0	n
53	61	0	n
54	61	0	n
55	61	0	n
56	61	0	n
57	61	0	n
58	61	0	n
59	61	0	n
60	61	0	n
25	62	0	n
28	62	0	n
29	62	0	n
30	62	0	n
31	62	0	n
32	62	0	n
33	62	0	n
34	62	0	n
35	62	0	n
36	62	0	n
38	62	0	n
39	62	0	n
40	62	0	n
42	62	0	n
44	62	0	n
45	62	0	n
46	62	0	n
47	62	0	n
48	62	0	n
49	62	0	n
50	62	0	n
51	62	0	n
52	62	0	n
53	62	0	n
54	62	0	n
55	62	0	n
56	62	0	n
57	62	0	n
58	62	0	n
59	62	0	n
60	62	0	n
61	62	0	n
25	63	0	n
27	63	0	n
28	63	0	n
29	63	0	n
30	63	0	n
31	63	0	n
32	63	0	n
33	63	0	n
34	63	0	n
35	63	0	n
36	63	0	n
37	63	0	n
38	63	0	n
39	63	0	n
40	63	0	n
42	63	0	n
43	63	0	n
44	63	0	n
45	63	0	n
46	63	0	n
47	63	0	n
48	63	0	n
49	63	0	n
50	63	0	n
51	63	0	n
52	63	0	n
53	63	0	n
54	63	0	n
55	63	0	n
56	63	1	down
57	63	0	n
58	63	0	n
59	63	0	n
60	63	0	n
61	63	0	n
62	63	0	n
25	64	0	n
26	64	0	n
27	64	0	n
28	64	0	n
29	64	0	n
30	64	0	n
31	64	0	n
32	64	0	n
33	64	0	n
34	64	0	n
35	64	0	n
36	64	0	n
37	64	0	n
38	64	0	n
39	64	0	n
40	64	0	n
41	64	0	n
44	64	0	n
45	64	0	n
46	64	0	n
47	64	0	n
48	64	0	n
49	64	0	n
50	64	0	n
51	64	0	n
52	64	0	n
53	64	0	n
54	64	0	n
55	64	0	n
56	64	0	n
57	64	0	n
58	64	0	n
59	64	1	down
60	64	0	n
61	64	0	n
62	64	0	n
63	64	0	n
26	65	0	n
27	65	0	n
28	65	0	n
29	65	0	n
30	65	0	n
31	65	0	n
32	65	0	n
33	65	0	n
34	65	0	n
35	65	0	n
36	65	0	n
37	65	0	n
38	65	0	n
39	65	0	n
40	65	0	n
42	65	0	n
44	65	0	n
45	65	0	n
46	65	0	n
47	65	0	n
48	65	0	n
49	65	0	n
50	65	0	n
51	65	0	n
52	65	0	n
53	65	0	n
54	65	0	n
55	65	0	n
56	65	0	n
57	65	0	n
58	65	0	n
59	65	0	n
60	65	0	n
61	65	0	n
62	65	0	n
63	65	0	n
64	65	0	n
16	66	0	n
28	66	0	n
29	66	0	n
30	66	0	n
31	66	0	n
32	66	0	n
33	66	0	n
34	66	0	n
35	66	0	n
36	66	0	n
37	66	0	n
38	66	0	n
39	66	1	up
40	66	0	n
41	66	0	n
44	66	0	n
45	66	0	n
46	66	0	n
47	66	0	n
48	66	0	n
49	66	0	n
50	66	0	n
51	66	0	n
52	66	0	n
53	66	0	n
54	66	0	n
55	66	0	n
56	66	0	n
57	66	0	n
58	66	0	n
59	66	0	n
60	66	0	n
61	66	0	n
62	66	0	n
63	66	0	n
64	66	0	n
65	66	0	n
16	67	0	n
20	67	0	n
25	67	0	n
28	67	0	n
29	67	0	n
30	67	0	n
31	67	0	n
32	67	0	n
33	67	0	n
34	67	0	n
35	67	0	n
36	67	0	n
37	67	0	n
38	67	0	n
39	67	0	n
40	67	0	n
42	67	0	n
43	67	0	n
44	67	0	n
46	67	0	n
47	67	0	n
48	67	0	n
49	67	0	n
50	67	0	n
51	67	0	n
52	67	1	down
53	67	0	n
54	67	0	n
55	67	0	n
56	67	0	n
57	67	0	n
58	67	0	n
59	67	0	n
60	67	0	n
61	67	0	n
62	67	0	n
63	67	0	n
64	67	0	n
65	67	0	n
66	67	0	n
17	68	0	n
22	68	0	n
26	68	0	n
27	68	0	n
28	68	0	n
29	68	0	n
31	68	0	n
32	68	0	n
33	68	0	n
34	68	0	n
35	68	0	n
36	68	0	n
37	68	0	n
38	68	0	n
39	68	0	n
40	68	0	n
41	68	0	n
42	68	0	n
43	68	0	n
44	68	0	n
45	68	0	n
46	68	0	n
47	68	0	n
48	68	0	n
49	68	0	n
50	68	0	n
51	68	0	n
52	68	0	n
53	68	0	n
54	68	0	n
55	68	0	n
56	68	0	n
57	68	0	n
58	68	0	n
59	68	0	n
60	68	0	n
61	68	0	n
62	68	0	n
63	68	0	n
64	68	0	n
65	68	0	n
66	68	0	n
67	68	0	n
22	69	0	n
26	69	0	n
27	69	0	n
28	69	0	n
29	69	0	n
31	69	1	down
32	69	0	n
33	69	0	n
34	69	0	n
35	69	0	n
36	69	0	n
37	69	0	n
38	69	0	n
39	69	0	n
41	69	0	n
43	69	0	n
44	69	0	n
45	69	0	n
46	69	0	n
47	69	1	up
48	69	0	n
49	69	0	n
50	69	0	n
51	69	0	n
52	69	0	n
53	69	0	n
54	69	0	n
55	69	0	n
56	69	0	n
57	69	0	n
58	69	0	n
59	69	0	n
60	69	0	n
61	69	0	n
62	69	0	n
63	69	0	n
64	69	0	n
65	69	0	n
66	69	0	n
67	69	0	n
68	69	0	n
24	70	0	n
25	70	0	n
26	70	0	n
27	70	0	n
28	70	0	n
29	70	0	n
30	70	0	n
31	70	0	n
32	70	0	n
33	70	0	n
35	70	0	n
36	70	0	n
37	70	0	n
38	70	0	n
39	70	0	n
40	70	0	n
41	70	0	n
42	70	0	n
43	70	0	n
44	70	0	n
45	70	0	n
46	70	0	n
47	70	0	n
48	70	0	n
49	70	0	n
50	70	0	n
51	70	0	n
52	70	0	n
53	70	0	n
54	70	0	n
55	70	0	n
56	70	0	n
57	70	0	n
58	70	0	n
59	70	0	n
60	70	0	n
61	70	0	n
62	70	0	n
63	70	0	n
64	70	0	n
65	70	0	n
66	70	0	n
67	70	0	n
68	70	0	n
69	70	0	n
22	71	0	n
23	71	0	n
24	71	0	n
26	71	0	n
27	71	0	n
28	71	0	n
29	71	0	n
30	71	0	n
31	71	0	n
32	71	0	n
33	71	0	n
35	71	0	n
36	71	0	n
37	71	0	n
38	71	0	n
39	71	1	down
40	71	0	n
41	71	0	n
42	71	0	n
43	71	0	n
44	71	0	n
45	71	0	n
46	71	0	n
47	71	0	n
48	71	0	n
49	71	0	n
50	71	0	n
51	71	0	n
52	71	0	n
53	71	0	n
54	71	0	n
55	71	0	n
56	71	0	n
57	71	0	n
58	71	0	n
59	71	0	n
60	71	0	n
61	71	0	n
62	71	0	n
63	71	0	n
64	71	0	n
65	71	0	n
66	71	0	n
67	71	0	n
68	71	0	n
69	71	0	n
70	71	0	n
18	72	0	n
24	72	0	n
26	72	0	n
27	72	0	n
28	72	0	n
29	72	0	n
30	72	0	n
31	72	0	n
32	72	0	n
33	72	0	n
35	72	0	n
36	72	0	n
37	72	0	n
38	72	0	n
39	72	0	n
40	72	0	n
41	72	0	n
42	72	0	n
43	72	0	n
44	72	0	n
45	72	0	n
46	72	0	n
47	72	0	n
48	72	0	n
49	72	0	n
50	72	0	n
51	72	0	n
52	72	0	n
53	72	0	n
54	72	0	n
55	72	0	n
56	72	0	n
57	72	0	n
58	72	0	n
59	72	0	n
60	72	0	n
61	72	0	n
62	72	0	n
63	72	0	n
64	72	0	n
65	72	0	n
66	72	0	n
67	72	0	n
68	72	0	n
69	72	0	n
70	72	0	n
71	72	0	n
24	73	0	n
25	73	0	n
26	73	0	n
28	73	0	n
29	73	0	n
30	73	0	n
31	73	0	n
32	73	0	n
33	73	0	n
34	73	1	up
35	73	0	n
36	73	0	n
37	73	0	n
38	73	0	n
39	73	0	n
40	73	0	n
44	73	0	n
45	73	0	n
46	73	0	n
47	73	0	n
48	73	0	n
49	73	0	n
50	73	0	n
51	73	0	n
52	73	0	n
53	73	0	n
54	73	0	n
55	73	0	n
56	73	0	n
57	73	0	n
58	73	0	n
59	73	0	n
60	73	0	n
61	73	0	n
62	73	0	n
63	73	0	n
64	73	0	n
65	73	0	n
66	73	0	n
67	73	0	n
68	73	0	n
69	73	0	n
70	73	0	n
71	73	0	n
72	73	0	n
20	74	0	n
26	74	0	n
27	74	0	n
28	74	0	n
29	74	0	n
31	74	0	n
32	74	0	n
33	74	0	n
34	74	1	down
35	74	0	n
37	74	0	n
38	74	0	n
39	74	0	n
40	74	0	n
42	74	0	n
43	74	0	n
44	74	0	n
45	74	0	n
46	74	0	n
47	74	0	n
48	74	0	n
49	74	0	n
50	74	0	n
51	74	0	n
52	74	0	n
53	74	0	n
54	74	0	n
55	74	0	n
56	74	0	n
57	74	0	n
59	74	0	n
60	74	0	n
61	74	0	n
62	74	0	n
63	74	0	n
64	74	0	n
65	74	0	n
66	74	0	n
67	74	0	n
68	74	0	n
69	74	0	n
70	74	0	n
71	74	0	n
72	74	0	n
73	74	0	n
26	75	0	n
27	75	0	n
28	75	0	n
31	75	0	n
33	75	0	n
35	75	0	n
37	75	0	n
38	75	0	n
39	75	0	n
40	75	0	n
43	75	0	n
44	75	0	n
45	75	0	n
46	75	0	n
47	75	0	n
48	75	0	n
49	75	0	n
50	75	0	n
51	75	0	n
52	75	0	n
53	75	0	n
54	75	0	n
55	75	0	n
56	75	0	n
57	75	0	n
58	75	0	n
59	75	0	n
60	75	0	n
61	75	0	n
62	75	0	n
63	75	0	n
64	75	0	n
65	75	0	n
66	75	0	n
67	75	0	n
68	75	0	n
69	75	0	n
70	75	0	n
71	75	0	n
72	75	0	n
73	75	0	n
74	75	0	n
16	76	0	n
20	76	0	n
26	76	0	n
27	76	0	n
28	76	0	n
29	76	0	n
30	76	0	n
32	76	0	n
35	76	0	n
36	76	0	n
37	76	0	n
38	76	0	n
39	76	0	n
40	76	0	n
42	76	0	n
43	76	0	n
44	76	0	n
45	76	0	n
46	76	0	n
48	76	0	n
49	76	0	n
50	76	0	n
51	76	0	n
52	76	0	n
53	76	0	n
54	76	0	n
55	76	0	n
56	76	0	n
57	76	0	n
58	76	0	n
59	76	0	n
60	76	0	n
61	76	0	n
62	76	0	n
63	76	0	n
64	76	0	n
65	76	0	n
66	76	0	n
67	76	0	n
68	76	0	n
69	76	0	n
70	76	0	n
71	76	0	n
72	76	0	n
73	76	0	n
74	76	0	n
75	76	0	n
22	77	0	n
24	77	0	n
26	77	0	n
28	77	0	n
30	77	0	n
31	77	0	n
34	77	0	n
35	77	0	n
36	77	0	n
37	77	0	n
38	77	0	n
39	77	0	n
40	77	0	n
41	77	0	n
42	77	0	n
43	77	0	n
44	77	0	n
45	77	0	n
46	77	0	n
47	77	0	n
48	77	0	n
49	77	0	n
50	77	0	n
54	77	0	n
56	77	0	n
57	77	0	n
61	77	0	n
62	77	0	n
63	77	0	n
64	77	0	n
65	77	0	n
66	77	0	n
67	77	0	n
68	77	0	n
69	77	0	n
70	77	0	n
71	77	0	n
72	77	0	n
73	77	0	n
74	77	0	n
75	77	0	n
76	77	0	n
26	78	0	n
27	78	0	n
29	78	0	n
30	78	0	n
31	78	0	n
32	78	1	down
33	78	0	n
34	78	0	n
35	78	0	n
36	78	0	n
38	78	0	n
39	78	0	n
40	78	0	n
43	78	0	n
47	78	0	n
48	78	0	n
49	78	0	n
51	78	0	n
52	78	0	n
53	78	0	n
54	78	0	n
55	78	0	n
56	78	0	n
57	78	0	n
58	78	0	n
60	78	0	n
61	78	0	n
62	78	0	n
63	78	0	n
64	78	0	n
65	78	0	n
66	78	0	n
67	78	0	n
68	78	0	n
69	78	0	n
70	78	0	n
71	78	0	n
72	78	0	n
73	78	0	n
74	78	0	n
75	78	0	n
76	78	0	n
77	78	0	n
22	79	0	n
26	79	0	n
27	79	0	n
28	79	0	n
29	79	0	n
30	79	0	n
33	79	0	n
34	79	0	n
35	79	0	n
36	79	0	n
37	79	0	n
38	79	0	n
39	79	0	n
40	79	0	n
42	79	0	n
43	79	0	n
44	79	0	n
45	79	0	n
47	79	0	n
49	79	0	n
52	79	0	n
53	79	0	n
54	79	0	n
55	79	0	n
56	79	0	n
57	79	0	n
58	79	0	n
59	79	0	n
61	79	0	n
62	79	0	n
63	79	0	n
64	79	0	n
65	79	0	n
66	79	0	n
67	79	0	n
68	79	0	n
69	79	0	n
70	79	0	n
71	79	0	n
72	79	0	n
73	79	0	n
74	79	0	n
75	79	0	n
76	79	0	n
77	79	0	n
78	79	0	n
16	80	0	n
26	80	0	n
27	80	0	n
28	80	0	n
32	80	0	n
34	80	0	n
35	80	0	n
36	80	0	n
37	80	0	n
38	80	0	n
39	80	0	n
40	80	0	n
42	80	0	n
43	80	0	n
44	80	0	n
47	80	0	n
48	80	0	n
50	80	0	n
52	80	0	n
53	80	0	n
54	80	0	n
55	80	0	n
56	80	0	n
57	80	0	n
58	80	0	n
60	80	0	n
61	80	0	n
62	80	0	n
63	80	0	n
64	80	0	n
65	80	0	n
66	80	0	n
67	80	0	n
68	80	0	n
69	80	0	n
70	80	0	n
71	80	0	n
72	80	0	n
73	80	0	n
74	80	0	n
75	80	0	n
76	80	0	n
77	80	0	n
78	80	0	n
79	80	0	n
20	81	0	n
26	81	0	n
27	81	0	n
28	81	0	n
29	81	0	n
30	81	0	n
31	81	0	n
32	81	0	n
33	81	0	n
34	81	0	n
36	81	0	n
37	81	0	n
38	81	0	n
40	81	0	n
42	81	0	n
43	81	0	n
44	81	0	n
45	81	0	n
46	81	1	down
47	81	0	n
48	81	0	n
49	81	0	n
51	81	0	n
52	81	0	n
53	81	0	n
54	81	0	n
55	81	0	n
56	81	0	n
57	81	0	n
58	81	0	n
59	81	0	n
60	81	0	n
61	81	0	n
62	81	0	n
63	81	0	n
64	81	0	n
65	81	0	n
66	81	0	n
67	81	0	n
68	81	0	n
69	81	0	n
70	81	0	n
71	81	0	n
72	81	0	n
73	81	0	n
74	81	0	n
75	81	0	n
76	81	0	n
77	81	0	n
78	81	0	n
79	81	1	up
80	81	0	n
26	82	0	n
27	82	0	n
28	82	0	n
29	82	0	n
30	82	0	n
31	82	0	n
32	82	0	n
33	82	0	n
34	82	0	n
35	82	0	n
36	82	0	n
37	82	0	n
38	82	0	n
39	82	0	n
40	82	0	n
42	82	0	n
44	82	0	n
45	82	0	n
46	82	0	n
47	82	0	n
48	82	0	n
49	82	0	n
50	82	0	n
51	82	0	n
52	82	0	n
53	82	0	n
54	82	0	n
55	82	0	n
56	82	0	n
57	82	0	n
58	82	0	n
59	82	0	n
61	82	0	n
62	82	0	n
63	82	0	n
64	82	0	n
65	82	0	n
66	82	0	n
67	82	0	n
68	82	0	n
69	82	0	n
70	82	0	n
71	82	0	n
72	82	0	n
73	82	0	n
74	82	0	n
75	82	0	n
76	82	0	n
77	82	0	n
78	82	0	n
79	82	0	n
80	82	0	n
81	82	0	n
16	83	0	n
28	83	0	n
31	83	0	n
33	83	0	n
34	83	0	n
37	83	0	n
38	83	1	down
39	83	0	n
40	83	0	n
41	83	0	n
42	83	0	n
43	83	0	n
44	83	0	n
45	83	0	n
47	83	0	n
49	83	0	n
50	83	0	n
51	83	0	n
52	83	0	n
54	83	0	n
55	83	0	n
56	83	0	n
57	83	0	n
58	83	0	n
59	83	0	n
60	83	0	n
61	83	0	n
62	83	0	n
63	83	0	n
64	83	0	n
65	83	0	n
66	83	0	n
67	83	0	n
68	83	0	n
69	83	0	n
70	83	0	n
71	83	0	n
72	83	0	n
73	83	0	n
74	83	0	n
75	83	0	n
76	83	0	n
77	83	0	n
78	83	0	n
79	83	0	n
80	83	0	n
81	83	0	n
82	83	0	n
26	84	0	n
27	84	0	n
28	84	0	n
29	84	0	n
30	84	0	n
31	84	0	n
32	84	0	n
33	84	0	n
34	84	0	n
35	84	0	n
36	84	0	n
37	84	0	n
38	84	0	n
39	84	0	n
40	84	0	n
41	84	0	n
43	84	0	n
44	84	0	n
45	84	0	n
46	84	0	n
47	84	0	n
48	84	0	n
49	84	0	n
50	84	0	n
51	84	0	n
52	84	0	n
54	84	0	n
55	84	0	n
56	84	0	n
57	84	0	n
58	84	0	n
59	84	0	n
60	84	0	n
61	84	0	n
62	84	0	n
63	84	0	n
64	84	0	n
65	84	0	n
66	84	0	n
67	84	0	n
68	84	0	n
69	84	0	n
70	84	0	n
71	84	0	n
72	84	0	n
73	84	0	n
74	84	0	n
75	84	0	n
76	84	0	n
77	84	0	n
78	84	0	n
79	84	0	n
80	84	0	n
81	84	0	n
82	84	0	n
83	84	0	n
16	85	0	n
26	85	0	n
27	85	0	n
28	85	0	n
29	85	0	n
30	85	0	n
31	85	0	n
32	85	0	n
33	85	0	n
34	85	0	n
35	85	0	n
36	85	0	n
37	85	0	n
38	85	0	n
39	85	0	n
40	85	0	n
42	85	0	n
44	85	0	n
45	85	0	n
46	85	0	n
47	85	0	n
48	85	0	n
49	85	0	n
50	85	0	n
51	85	0	n
52	85	0	n
53	85	0	n
56	85	0	n
57	85	0	n
58	85	0	n
59	85	0	n
60	85	0	n
61	85	0	n
62	85	0	n
63	85	0	n
64	85	0	n
65	85	0	n
66	85	0	n
67	85	0	n
68	85	0	n
69	85	0	n
70	85	0	n
71	85	0	n
72	85	0	n
73	85	0	n
74	85	0	n
